% Model:              Luke_electric_field_simulation_V2.mph
% Version:            COMSOL 5.6.0.401
% Date:               Mar 11 2024, 22:31
% Dimension:          3
% Nodes:              5305
% Expressions:        1
% Description:        Multislice
% x                       y                        z                        Color
-34.44773247027222        -14.18180695876549       0                        4.244308608273665E-12
-33.50776582033052        -12.976900057771326      0                        1.8189894035458565E-12
-35.001640389226          -12.727345746405636      0                        8.791782117138306E-12
-34.03473251424474        -11.574064154125043      0                        -6.063298011819521E-13
-33.83181046800325        -15.612001330124619      0                        1.0610771520684163E-12
-32.313411207482744       -15.725371178749395      0                        -1.2884508275116484E-12
-31.499265973027455       -14.458488115244092      0                        -2.4253192047278085E-12
-28.615599004638252       -19.46267603670772       0                        1.4476124003219107E-11
-30.869895320386807       -18.336189661263383      0                        4.073778351691241E-12
-25.589980669906183       -22.624462846809553      0                        6.496390726949487E-14
-24.71468299499466        -24.118923719297815      0                        -1.0610771520684163E-12
-24.51912826522406        -21.709121238239195      0                        0
-24.01188799062821        -22.786145296846165      0                        -2.0463630789890885E-12
-25.441993043967518       -21.13492601734296       0                        4.850638409455617E-12
-27.39963151011873        -19.38639066854961       0                        -7.503331289626658E-12
-26.80090845535176        -20.259893171811207      0                        8.367351256310939E-12
-25.143274570029593       -20.00288825073917       0                        -6.063298011819522E-12
-26.046114478491113       -20.446261152298753      0                        -1.0550138540565967E-11
-24.18970685385767        -20.578047043546896      0                        4.244308608273665E-12
-23.948885109425138       -19.063095559990153      0                        1.7540254962763616E-12
-23.06697942553183        -20.238320396705177      0                        -1.8189894035458565E-12
-26.14734391682372        -19.48904604283187       0                        7.579122514774402E-13
-25.07544481704157        -18.64090843815991       0                        1.0307606620093187E-11
-30.148386276317957       -17.07982209550507       0                        1.2126596023639042E-12
-29.38703478399553        -18.30647641255979       0                        6.063298011819522E-12
-28.673279986960463       -17.093435234812077      0                        1.0913936421275139E-11
-27.98253594359504        -18.205426645183465      0                        -9.094947017729282E-13
-27.270792930485566       -16.977215802477573      0                        1.2126596023639042E-12
-26.397817371054437       -18.16858521085387       0                        5.19711258155959E-13
-25.21716871207056        -17.588292873550245      0                        1.8189894035458565E-11
-28.015182993809496       -15.888541602444999      0                        6.366462912410498E-12
-26.71185482202591        -15.76037802919191       0                        6.821210263296962E-12
-27.49959800759947        -14.926493499153992      0                        2.546585164964199E-12
-26.026250087150977       -16.755965614215448      0                        2.4253192047278085E-12
-23.979808089191035       -26.656215489355294      0                        4.244308608273665E-12
-25.51365379784973        -27.088175703272796      0                        2.4253192047278085E-12
-25.162637887339542       -25.578334078735384      0                        9.549694368615746E-12
-23.40673493469224        -21.495327762763868      0                        -7.882287415365378E-12
-22.49717109292191        -22.59268270527903       0                        -1.8189894035458565E-12
-23.19382600052779        -23.904576847512413      0                        6.6696278130014735E-12
-23.628124149039138       -25.232227496768267      0                        5.4569682106375694E-12
-22.199555160470304       -24.89217535684587       0                        1.0307606620093187E-11
-21.11305274702801        -25.802061792824514      0                        -2.4253192047278085E-12
-21.975244962954097       -23.769254551107263      0                        -5.4569682106375694E-12
-22.384895045643233       -21.086766231032687      0                        7.275957614183426E-12
-21.446998752179805       -21.68303939855253       0                        8.73114913702011E-12
-20.862569333880323       -22.79123390593111       0                        4.157690065247672E-12
-32.5797183884929         -11.824045162424158      0                        -6.063298011819521E-13
-32.05774924904722        -13.208105617424465      0                        1.8189894035458565E-12
-34.52213638352467        -10.165552675657475      0                        4.6990559591601295E-12
-33.10416315690292        -10.454079357460543      0                        -2.576901655023297E-12
-35.52116125628228        -11.258068330165003      0                        -3.031649005909761E-12
-30.84538648356693        -15.800320647262126      0                        2.4253192047278085E-12
-30.0614269973335         -14.565784876584017      0                        2.8800665556142726E-12
-29.43170749905579        -15.862679481607929      0                        9.019155792581538E-12
-29.110380629999277       -13.442836438708758      0                        -6.518045362705986E-12
-28.673097576663675       -14.68690022005223       0                        -6.063298011819522E-12
-30.601354160728274       -13.318215749481261      0                        9.701276818911234E-12
-27.600155224634648       -13.694236949656766      0                        -1.052415297765817E-11
-26.15678546958125        -14.39285264607699       0                        1.8189894035458565E-12
-26.399792231341756       -13.14875948236765       0                        -4.865796654485166E-12
-25.199316697201912       -15.49687617622733       0                        -1.3642420526593924E-12
-24.648811806655246       -16.5565967511967        0                        -6.063298011819522E-12
-36.67361637738361        -6.791971736203843       0                        -2.4253192047278085E-12
-35.300627981264086       -7.258275689904986       0                        -6.063298011819522E-12
-36.388631336397          -8.289689737847683       0                        -1.8189894035458565E-12
-34.96557697845229        -8.72680010193706        0                        -1.4551915228366852E-11
-36.00110850013422        -9.773605308582          0                        -2.4253192047278085E-12
-37.121295599918156       -3.8119554916857266      0                        6.063298011819522E-12
