Model:,Luke_electric_field_simulation_V2.mph,,,
Version:,COMSOL,5.6.0.401,,
Date:,Mar,11,"2024,",22:13
Dimension:,3,,,
Nodes:,46324,,,
Expressions:,1,,,
Description:,Multislice,,,
x,y,z,Color,
-40.29476278,-7.09E-15,6.94091093,-5833.208812,
-40.25572174,-7.22E-15,6.906377938,-5838.5757,
-39.99177307,-7.23E-15,6.670854187,-5875.275475,
-40.16993532,-7.11E-15,6.986846404,-5857.181461,
-39.99132063,-7.09E-15,7.052345466,-5891.365222,
-40.04622051,-7.11E-15,7.101613,-5883.650511,
-40.29483691,-7.11E-15,7.185582936,-5843.447283,
-40.59826644,-7.12E-15,7.210900662,-5794.803021,
-40.29441505,-7.10E-15,7.322395657,-5850.862163,
-40.36469098,-7.11E-15,7.296677732,-5837.93129,
-39.99152448,-7.09E-15,7.153183613,-5895.646159,
-40.25721261,-7.11E-15,7.336147546,-5857.879229,
-39.9918358,-7.11E-15,6.703674972,-5876.66024,
-39.99115843,-7.13E-15,7.433851934,-5907.556806,
-41.2069249,-7.11E-15,5.832291713,-5671.976845,
-38.65509088,-7.08E-15,7.382398585,0.095809899,
-38.71484928,-7.17E-15,7.250191886,0.096741766,
-38.65450507,-7.12E-15,7.243875138,0.096855684,
-38.89763005,-7.11E-15,7.269251567,0.095565933,
-38.77078489,-7.06E-15,7.128456717,0.097179182,
-38.39462499,-7.11E-15,7.504322279,0.096142935,
-38.99181356,-7.11E-15,7.225236535,0.095470339,
-38.38904225,-7.11E-15,6.935888948,0.099028431,
-38.63820401,-7.12E-15,7.061807371,0.097476439,
-38.00727545,-7.12E-15,6.743317725,0.101906167,
-38.25481289,-7.08E-15,6.868412521,0.099854413,
-38.00936556,-7.11E-15,7.316394085,0.098723053,
-38.3090418,-7.11E-15,7.462575102,0.096818782,
-38.27163877,-7.06E-15,7.052766384,0.098939624,
-38.364298,-7.11E-15,7.098793686,0.098372359,
-37.98253995,-7.11E-15,6.908241614,0.101213518,
-37.9273267,-7.11E-15,7.276375816,0.100286157,
-38.31750833,-7.09E-15,7.953712294,0.091141678,
-38.61302053,-7.11E-15,7.985739853,0.088904914,
-38.45922868,-7.12E-15,7.812036673,0.092181069,
-38.67537481,-7.11E-15,7.992497798,0.088435549,
-38.69959515,-7.11E-15,7.945398943,0.08897962,
-38.6545661,-7.11E-15,7.990261727,0.088590472,
-38.85728351,-7.11E-15,7.638534586,0.091524267,
-38.94646648,-7.11E-15,7.324834243,0.094604077,
-38.65437482,-7.12E-15,7.616598718,0.093155243,
-38.9919737,-7.11E-15,7.376009721,0.093695157,
-38.65463445,-7.11E-15,7.966315026,0.089037646,
-38.31894141,-7.11E-15,7.651665555,0.095004733,
-38.35388455,-7.11E-15,7.583695082,0.095530411,
-38.99165494,-7.11E-15,7.653185758,0.090434966,
-38.99173917,-7.11E-15,7.279530404,0.094829177,
-38.99206825,-7.11E-15,7.809116146,0.088604855,
-38.17199871,-7.11E-15,7.937738453,0.093253827,
-38.99186236,-7.12E-15,8.02679866,0.08605884,
-38.31711158,-7.11E-15,7.573647951,0.096060295,
-38.31754382,-7.11E-15,7.592077181,0.095685556,
-38.28919184,-7.11E-15,7.598618536,0.096046632,
-37.97138903,-7.12E-15,7.882851868,0.094970038,
-39.99747852,-7.09E-15,8.710390895,-6051.347291,
-40.01561159,-7.10E-15,8.675591727,-6029.00558,
-39.99293718,-7.10E-15,8.707031004,-6021.289154,
-40.50455992,-7.12E-15,7.377358862,-5824.385432,
-40.599849,-7.11E-15,7.431237417,-5812.794871,
-40.29497927,-7.13E-15,7.749721906,-5883.082401,
-40.15559758,-7.13E-15,7.997309593,-5922.249218,
-40.29665518,-7.10E-15,8.077449083,-5912.941288,
-40.29476464,-7.11E-15,7.39402353,-5857.684995,
-40.10880022,-7.11E-15,7.653622209,-5905.175377,
-40.01572752,-7.12E-15,7.852568612,-5933.878342,
-39.992228,-7.06E-15,7.902613326,-5941.066122,
-39.99210781,-7.15E-15,7.861211076,-5938.132167,
-39.99217995,-7.14E-15,7.816296944,-5934.930982,
-39.99166292,-7.13E-15,8.288565102,-5968.469206,
-40.48282418,-7.11E-15,7.681227209,-5851.551402,
-40.24035725,-7.10E-15,8.197623542,-5931.662841,
-40.76103828,-7.11E-15,7.533551584,-5791.114973,
-40.37391471,-7.10E-15,8.126649024,-5919.221883,
-40.63627482,-7.11E-15,7.724696974,-5832.347095,
-40.31394485,-7.09E-15,8.218526589,-5939.07734,
-40.9586048,-7.13E-15,7.230867358,-5730.064822,
-39.99292521,-7.14E-15,8.714927849,-6061.66951,
-40.0030262,-7.11E-15,8.71758547,-6063.988381,
-38.31895367,-7.12E-15,8.169124022,0.088263932,
-38.65473817,-7.10E-15,8.02629404,0.087671204,
-38.65518046,-7.11E-15,8.392325674,0.080018248,
-38.85851863,-7.10E-15,8.575224579,0.075233541,
-38.95032044,-7.13E-15,8.424267045,0.077977104,
-38.65672955,-7.11E-15,8.700664449,0.074956272,
-38.76526881,-7.11E-15,8.133612702,0.084913621,
-38.99295775,-7.13E-15,8.491435173,0.076370571,
-38.99281087,-7.09E-15,8.354615476,0.079229203,
-38.99276116,-7.11E-15,8.428899599,0.077680984,
-38.44648932,-7.09E-15,8.369449138,0.08325541,
-38.72070219,-7.10E-15,8.801204777,0.072445086,
-38.9927959,-7.09E-15,8.83098821,0.069266591,
-38.99413533,-7.11E-15,9.232215741,0.062421326,
-38.21293428,-7.12E-15,8.344697228,0.087507232,
-38.33266557,-7.09E-15,8.594083798,0.081324019,
-38.41688797,-7.09E-15,8.768974974,0.076990724,
-38.57261721,-7.11E-15,9.093516692,0.069057995,
-38.25282234,-7.09E-15,8.751656848,0.078732309,
-38.0418316,-7.06E-15,8.729296278,0.080976922,
-38.14999537,-7.11E-15,8.954589032,0.075661725,
-38.10491555,-7.09E-15,8.519333996,0.084788492,
-38.09246366,-7.11E-15,8.094670195,0.092776241,
-37.90975333,-7.11E-15,8.455178523,0.088193016,
